doc_id,sentence_id,corpus,date,findspot,translation,transliteration,normalized_transliteration,lemma_forms,mdc,semantic_text
D051423,IBUBd4WI7M3oW0yYteUWAIydU04,bbawtotenlit,TIP - Roman times,Upper Egypt (South of Assiut),"""Es werden dir (auch) keine Erben (mehr) entstehen in diesem Lande, Apophis 'Feind des Re'!""",nn {šs}〈ḫp〉r 〈jw〉ꜥꜥ〈.pl〉 =k m tꜣ pn ꜥꜣpp ḫft-n-Rꜥw,nn sshpr jwaa.pl k m ta pn aapp hft-n-raw,nn | ḫpr (m-sꜣ) | jwꜥ.w | =k | m | tꜣ | pn | Ꜥꜣpp | ḫft.j-(n)-Rꜥw,nn {Ss}〈xp〉r 〈jw〉aa〈.pl〉 =k m tA pn aApp xft-n-raw,"Translation: ""Es werden dir (auch) keine Erben (mehr) entstehen in diesem Lande, Apophis 'Feind des Re'!"" | Transliteration: nn {šs}〈ḫp〉r 〈jw〉ꜥꜥ〈.pl〉 =k m tꜣ pn ꜥꜣpp ḫft-n-Rꜥw | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)"
D054112,IBUBd16NZyPS0UT0hIJiU9K5WrQ,bbawtotenlit,TIP - Roman times,Upper Egypt (South of Assiut),"""Oh, siehe, ich, (der) Osiris Gottesvater, Hepet-Udjat(-Priester), Henek-(Nu)(-Priester), Djed-hor selig, geboren von Ta-Wagesch selig, tue das, was du liebst!""","j m≡k wj Wsjr jt(j)-nṯr ḥpt-wḏꜣ,t ḥnk-(nww) Ḏd-ḥr mꜣꜥ-ḫrw msi̯ n Tꜣ-wꜣgš mꜣꜥ-ḫrw ḥr jri̯ mri̯.wt =k",j mk wj wsjr jtj-ntr hpt-wdat hnk-nww dd-hr maa-hrw msi n ta-wags maa-hrw hr jri mri.wt k,j | m | wj | Wsjr | jtj-nṯr | ḥp.t-wḏꜣ.t | ḥnk-Nw.w | Ḏd-Ḥr.w | mꜣꜥ-ḫrw | msi̯ | n | Tꜣ-wꜣgš | mꜣꜥ-ḫrw | ḥr | jri̯ | mri̯ | =k,"j m≡k wj wsjr jt(j)-nTr Hpt-wDA,t Hnk-(nww) Dd-Hr mAa-xrw msi n tA-wAgS mAa-xrw Hr jri mri.wt =k","Translation: ""Oh, siehe, ich, (der) Osiris Gottesvater, Hepet-Udjat(-Priester), Henek-(Nu)(-Priester), Djed-hor selig, geboren von Ta-Wagesch selig, tue das, was du liebst!"" | Transliteration: j m≡k wj Wsjr jt(j)-nṯr ḥpt-wḏꜣ,t ḥnk-(nww) Ḏd-ḥr mꜣꜥ-ḫrw msi̯ n Tꜣ-wꜣgš mꜣꜥ-ḫrw ḥr jri̯ mri̯.wt =k | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)"
D034935,IBUBd69LQ4KX3UmzrcezdphOwk8,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),,[ḏ(d)-mdw],dd-mdw,ḏd-mdw,[D(d)-mdw],Transliteration: [ḏ(d)-mdw] | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)
D042085,IBUBdQnQeMyd7UDnnVDrX0c7VPs,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),,ḏ(d)-mdw,dd-mdw,ḏd-mdw,D(d)-mdw,Transliteration: ḏ(d)-mdw | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)
D062988,IBUBdyqfl98ZBUiPoIF2xcTpThU,sawlit,NK,Middle Egypt (from Kairo to Assiut),"Remember the adhering to regulations, the fixing of dates, the removal of one initiated into ritual purity because of bodily vileness","sḫꜣ.pl nḏri̯ tp-rd.pl šbšb sw.pl šdi̯.t bsi̯ ⸢m⸣ wꜥb.t r ẖs,t ẖ,t",sha.pl ndri tp-rd.pl sbsb sw.pl sdi.t bsi m wab.t r hst ht,sḫꜣ | nḏri̯ | tp-rd | šbšb | sw | šdi̯ | bzi̯ | m | wꜥb | r | ẖz.yt | ẖ.t,"sxA.pl nDri tp-rd.pl SbSb sw.pl Sdi.t bsi ⸢m⸣ wab.t r Xs,t X,t","Translation: Remember the adhering to regulations, the fixing of dates, the removal of one initiated into ritual purity because of bodily vileness | Transliteration: sḫꜣ.pl nḏri̯ tp-rd.pl šbšb sw.pl šdi̯.t bsi̯ ⸢m⸣ wꜥb.t r ẖs,t ẖ,t | Corpus: sawlit | Date: NK | Findspot: Middle Egypt (from Kairo to Assiut)"
D056160,IBUBdWQAi2v1xESpgDKvqr8LGnE,sawlit,TIP - Roman times,Upper Egypt (South of Assiut),Da sagte er zu dem Priester des Chons-Der-Fürsorger-von-Theben:,"ꜥḥꜥ.n ḏd =f n pꜣ ḥm-nṯr n Ḫns,w-pꜣ-jri̯-sḫr-m-Wꜣs,t",aha.n dd f n pa hm-ntr n nsw-pa-jri-shr-m-wast,ꜥḥꜥ.n | ḏd | =f | n | pꜣ | ḥm-nṯr | n.j | Ḫns.w-pꜣ-jr-sḫr.w-m-Wꜣs.t,"aHa.n Dd =f n pA Hm-nTr n xns,w-pA-jri-sxr-m-wAs,t","Translation: Da sagte er zu dem Priester des Chons-Der-Fürsorger-von-Theben: | Transliteration: ꜥḥꜥ.n ḏd =f n pꜣ ḥm-nṯr n Ḫns,w-pꜣ-jri̯-sḫr-m-Wꜣs,t | Corpus: sawlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)"
D051267,IBUBd34IiAW7mUpZrBp3MWHQ0cY,bbawtotenlit,TIP - Roman times,Upper Egypt (South of Assiut),"""Zerschnitten seid ihr!""",mds tn,mds tn,mds | ṯn,mds tn,"Translation: ""Zerschnitten seid ihr!"" | Transliteration: mds tn | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)"
D043007,IBUBd4HZxO4ZDkROtQV2tsLU0D8,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),"Die Binsengefilde, die horischen Hügel, die Hügel des Seth - dir gehört alles.","sḫ,t.pl-jꜣr,w jꜣ,t.pl ḥr,t jꜣ,t.pl Stš n(,j) k(w) tm",sht.pl-jarw jat.pl hrt jat.pl sts nj kw tm,sḫ.t-jꜣr.w | jꜣ.t | ḥr.wj | jꜣ.t | Stẖ | n.j | kw | tm,"sx,t.pl-jAr,w jA,t.pl Hr,t jA,t.pl stS n(,j) k(w) tm","Translation: Die Binsengefilde, die horischen Hügel, die Hügel des Seth - dir gehört alles. | Transliteration: sḫ,t.pl-jꜣr,w jꜣ,t.pl ḥr,t jꜣ,t.pl Stš n(,j) k(w) tm | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)"
D051471,IBUBd1nNyB8q20UnuPAGQQHcym8,bbawtotenlit,TIP - Roman times,Upper Egypt (South of Assiut),"""Ich kopulierte mit meiner Hand.""","dꜣdꜣ((y)).n =j m ḏr,t =j",daday.n j m drt j,dd | =j | m | ḏr.t | =j,"dAdA((y)).n =j m Dr,t =j","Translation: ""Ich kopulierte mit meiner Hand."" | Transliteration: dꜣdꜣ((y)).n =j m ḏr,t =j | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)"
D040671,IBUBdWwpO27FxUaesXl4LsjGkbI,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),[...] soll sich nicht entfernen [...],jmi̯ wꜣi̯ [...],jmi wai ...,jmi̯ | wꜣi̯,jmi wAi [...],Translation: [...] soll sich nicht entfernen [...] | Transliteration: jmi̯ wꜣi̯ [...] | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)
