unicode_codepoint,unicode_char,gardiner_code,zh_name,en_name,phonetic_value,meaning_zh,meaning_en,related_terms,text_search_terms,category,annotation_source
U+131F3,𓇳,N5,太阳,sun,,太阳,sun,"sun,solar,ra,re,raw","sun,solar,ra,re,raw",,manual_seed_from_existing_library
U+132F9,𓋹,S34,生命符号,ankh,,生命符号,ankh,"life,ankh,anh","life,ankh,anh",,manual_seed_from_existing_library
U+13153,𓅓,G17,猫头鹰,owl,,猫头鹰,owl,"owl,m","owl,m",,manual_seed_from_existing_library
U+1308B,𓂋,D21,口,mouth,,口,mouth,"mouth,r","mouth,r",,manual_seed_from_existing_library
U+131CB,𓇋,M17,芦苇叶,reed leaf,,芦苇叶,reed leaf,"reed,i","reed,i",,manual_seed_from_existing_library
U+133CF,𓏏,X1,面包,bread loaf,,面包,bread loaf,"bread,t","bread,t",,manual_seed_from_existing_library
U+13250,𓉐,O1,房屋,house,,房屋,house,"house,pr","house,pr",,manual_seed_from_existing_library
U+13257,𓉗,O6,神庙围墙,temple enclosure,,神庙围墙,temple enclosure,"temple,hwt-ntr","temple,hwt-ntr",,manual_seed_from_existing_library
U+13000,𓀀,A1,坐着的人,seated man,,坐着的人,seated man,"man,person","man,person",,manual_seed_from_existing_library
U+13050,𓁐,B1,女人,woman,,女人,woman,"woman,female","woman,female",,manual_seed_from_existing_library
U+1313F,𓄿,G1,秃鹫,vulture,,秃鹫,vulture,"vulture,a","vulture,a",,manual_seed_from_existing_library
U+13193,𓆓,I10,眼镜蛇,cobra,,眼镜蛇,cobra,"cobra,dj","cobra,dj",,manual_seed_from_existing_library
U+132B5,𓊵,R4,供品台,offering table,,供品台,offering table,"offering,htp","offering,htp",,manual_seed_from_existing_library
U+1339B,𓎛,V28,绳圈,wick,,绳圈,wick,"wick,h","wick,h",,manual_seed_from_existing_library
U+1309D,𓂝,D36,手臂,arm,,手臂,arm,"arm,a","arm,a",,manual_seed_from_existing_library
U+13124,𓄤,F35,心与气管,heart and windpipe,,心与气管,heart and windpipe,"heart,nfr,good,beautiful","heart,nfr,good,beautiful",,manual_seed_from_existing_library
U+133DE,𓏞,Y5,书写板,writing board,,书写板,writing board,"scribe,writing","scribe,writing",,manual_seed_from_existing_library
U+131D3,𓇓,M23,莎草植物,sedge,,莎草植物,sedge,"sedge,king,nswt","sedge,king,nswt",,manual_seed_from_existing_library
U+13216,𓈖,N35,水波,water,,水波,water,"water,n","water,n",,manual_seed_from_existing_library
U+133E4,𓏤,Z1,单笔画,stroke,,单笔画,stroke,"stroke,one","stroke,one",,manual_seed_from_existing_library
U+13079,𓁹,D4,眼睛,eye,,眼睛,eye,"eye,seeing,vision,watch","eye,seeing,vision,watch",,manual_seed_from_existing_library
U+13080,𓂀,D10,荷鲁斯之眼,wedjat eye,,荷鲁斯之眼,wedjat eye,"wedjat,horus,eye,protection,healing","wedjat,horus,eye,protection,healing",,manual_seed_from_existing_library
U+13171,𓅱,G43,鹌鹑雏鸟,quail chick,,鹌鹑雏鸟,quail chick,"quail,bird,w,chick","quail,bird,w,chick",,manual_seed_from_existing_library
U+13191,𓆑,I9,角蝰,horned viper,,角蝰,horned viper,"viper,snake,f,danger","viper,snake,f,danger",,manual_seed_from_existing_library
U+131EF,𓇯,N1,天空,sky,,天空,sky,"sky,heaven,firmament","sky,heaven,firmament",,manual_seed_from_existing_library
U+131FC,𓇼,N14,星星,star,,星星,star,"star,night,sky,astral","star,night,sky,astral",,manual_seed_from_existing_library
U+131FE,𓇾,N16,土地,land,,土地,land,"land,earth,ground,territory","land,earth,ground,territory",,manual_seed_from_existing_library
U+13209,𓈉,N25,山地,hill country,,山地,hill country,"hill,mountain,foreign land,desert","hill,mountain,foreign land,desert",,manual_seed_from_existing_library
U+13218,𓈘,N36,水渠,water channel,,水渠,water channel,"canal,water,channel,irrigation","canal,water,channel,irrigation",,manual_seed_from_existing_library
U+132B9,𓊹,R8,神旗,god standard,,神旗,god standard,"god,deity,divine,standard,temple","god,deity,divine,standard,temple",,manual_seed_from_existing_library
U+132F4,𓋴,S29,折布,folded cloth,,折布,folded cloth,"cloth,fabric,s","cloth,fabric,s",,manual_seed_from_existing_library
U+133A1,𓎡,V31,篮子,basket,,篮子,basket,"basket,container,k","basket,container,k",,manual_seed_from_existing_library
U+133DB,𓏛,Y1,书卷,scroll,,书卷,scroll,"scroll,writing,document,text","scroll,writing,document,text",,manual_seed_from_existing_library
U+133E5,𓏥,Z2,双短划,double strokes,,双短划,double strokes,"two,dual,plural,stroke","two,dual,plural,stroke",,manual_seed_from_existing_library
