doc_id,topic_tags_zh,summary_zh,matched_chinese_rules,annotation_source
D035695,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D030919,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D041032,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D034846,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D034120,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D037036,奥西里斯信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“奥西里斯信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能与奥西里斯神话、死亡复活或亡灵信仰相关。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,奥西里斯信仰:osiris；太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D042698,奥西里斯信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“奥西里斯信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能与奥西里斯神话、死亡复活或亡灵信仰相关。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,奥西里斯信仰:osiris；太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033904,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D037812,太阳崇拜；死亡与亡灵；亡灵文学；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、亡灵文学、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；亡灵文学:tb；金字塔文本:pyramid,rule_based
D037452,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033654,奥西里斯信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“奥西里斯信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能与奥西里斯神话、死亡复活或亡灵信仰相关。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,奥西里斯信仰:osiris；太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D043173,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D030172,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D043577,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D042675,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D040464,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D031957,神祇信仰；太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D040418,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D034219,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D035583,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D030547,神祇信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D031162,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D037790,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D035762,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D030280,太阳崇拜；死亡与亡灵；祭祀供奉；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、祭祀供奉、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可能涉及供品、祭祀仪式或神庙宗教实践。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；祭祀供奉:htp；金字塔文本:pyramid,rule_based
D033447,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033100,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D035151,神祇信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033429,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D030420,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:horus；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D034497,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D042782,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D030211,神祇信仰；太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033672,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D038539,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033588,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D043440,神祇信仰；太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D041974,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
