gardiner_code,unicode_char,zh_name,en_name,related_terms,png_path,processed_png_path
N5,𓇳,太阳,sun,"sun,solar,ra,re,raw",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N5.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\N5_processed.png
S34,𓋹,生命符号,ankh,"life,ankh,anh",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\S34.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\S34_processed.png
G17,𓅓,猫头鹰,owl,"owl,m",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\G17.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\G17_processed.png
D21,𓂋,口,mouth,"mouth,r",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\D21.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\D21_processed.png
M17,𓇋,芦苇叶,reed leaf,"reed,i",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\M17.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\M17_processed.png
X1,𓏏,面包,bread loaf,"bread,t",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\X1.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\X1_processed.png
O1,𓉐,房屋,house,"house,pr",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\O1.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\O1_processed.png
O6,𓉗,神庙围墙,temple enclosure,"temple,hwt-ntr",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\O6.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\O6_processed.png
A1,𓀀,坐着的人,seated man,"man,person",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\A1.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\A1_processed.png
B1,𓁐,女人,woman,"woman,female",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\B1.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\B1_processed.png
G1,𓄿,秃鹫,vulture,"vulture,a",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\G1.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\G1_processed.png
I10,𓆓,眼镜蛇,cobra,"cobra,dj",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\I10.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\I10_processed.png
R4,𓊵,供品台,offering table,"offering,htp",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\R4.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\R4_processed.png
V28,𓎛,绳圈,wick,"wick,h",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\V28.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\V28_processed.png
D36,𓂝,手臂,arm,"arm,a",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\D36.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\D36_processed.png
F35,𓄤,心与气管,heart and windpipe,"heart,nfr,good,beautiful",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\F35.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\F35_processed.png
