topic_id,topic_zh,parent_topic,related_terms,description_zh
ZH001,神祇信仰,宗教观念,"ntr,god,deity,gott",涉及古埃及神祇、神明身份、神圣属性和宗教信仰的文本主题。
ZH002,奥西里斯信仰,神祇信仰,"osiris,wsjr",涉及奥西里斯、死亡、复活、来世和亡灵审判的文本主题。
ZH003,太阳崇拜,神祇信仰,"ra,re,raw,sun,solar",涉及太阳神、太阳运行、光明、再生和太阳神学的文本主题。
ZH004,荷鲁斯信仰,神祇信仰,"horus,hr",涉及荷鲁斯、王权保护、神话冲突和王室合法性的文本主题。
ZH005,阿蒙信仰,神祇信仰,"amun,jmn,imn",涉及阿蒙神及其神庙、祭司和王权关系的文本主题。
ZH006,王权政治,社会政治,"king,nswt,ruler,pharaoh",涉及国王、法老、王权、统治合法性和王室意识形态的文本主题。
ZH007,王室人物,社会政治,"queen,royal,prince,princess",涉及王后、王子、公主和王室成员的文本主题。
ZH008,来世观念,宗教观念,"afterlife,duat,dwat,underworld,jenseits",涉及冥界、死后世界、亡灵存在和来世旅程的文本主题。
ZH009,死亡与亡灵,来世观念,"dead,deceased,mwt,soul,ba,ka",涉及死亡、死者、灵魂、ba、ka 和亡灵身份的文本主题。
ZH010,审判与玛阿特,来世观念,"judgment,tribunal,maat,truth,justice,order",涉及亡灵审判、真理、公正、秩序和玛阿特观念的文本主题。
ZH011,祭祀供奉,宗教实践,"offering,htp,ritual,cult,opfer",涉及供品、祭祀仪式、神庙供奉和死者供奉的文本主题。
ZH012,神庙空间,宗教实践,"temple,tempel,hwt-ntr,pr",涉及神庙、庙宇、祭司和宗教空间的文本主题。
ZH013,墓葬铭文,文献类型,"tomb,grave,burial,inscription,stela",涉及墓葬、石碑、死者铭文和墓主身份的文本主题。
ZH014,亡灵文学,文献类型,"book of the dead,tb,totenbuch,afterlife,osiris",涉及亡灵书、丧葬咒语和来世通行文本的主题。
ZH015,金字塔文本,文献类型,"pyramid texts,pyramidentexte,pyramid",涉及金字塔文本和王室丧葬文学的主题。
ZH016,医学与治疗,文献类型,"medical,medicine,medizin,healing,physician",涉及医学文本、治疗、疾病、身体和药物知识的主题。
ZH017,书信与档案,文献类型,"letter,letters,brief,briefe,archive",涉及书信、行政档案和文书记录的主题。
ZH018,职业身份,社会生活,"priest,scribe,official,worker,craftsman",涉及祭司、书吏、官员、工匠等社会职业身份的主题。
ZH019,自然宇宙,宇宙观念,"sky,earth,water,nile,sun,star",涉及天空、大地、尼罗河、水、太阳和星辰等宇宙自然主题。
ZH020,敌人与冲突,社会政治,"enemy,enemies,hfti,victory,triumph",涉及敌人、战争、神话冲突和战胜敌人的文本主题。
ZH021,魔法咒语,宗教实践,"magic,spell,heka,utterance",涉及魔法、咒语、神圣话语和仪式语言的主题。
ZH022,生命与保护,宗教观念,"life,ankh,anh,protection,protect",涉及生命、保护、护佑、重生和神圣庇护的主题。
