query_zh,category_zh,topic_en,expanded_terms,explanation_zh
神,神祇与宗教,god / deity,"god,deity,gott,ntr",nṯr / ntr 是古埃及语中常见的“神”相关词项，也可对应英文 god、deity 和德文 Gott。
诸神,神祇与宗教,gods / deities,"gods,deities,gott,ntr,ntr.pl",该主题用于检索复数意义上的神祇、众神或神明群体。
女神,神祇与宗教,goddess,"goddess,goddesses,deity,ntrt,ntr.t",该主题用于检索古埃及女神或女性神祇相关文本。
大神,神祇与宗教,great god,"great,god,ntr,aa,ntr-aa,aA",“大神”通常对应 great god，也可与古埃及语 ntr-aa / nṯr-ꜥꜣ 相关。
太阳神,神祇与宗教,sun god / Ra,"sun,solar,ra,re,raw,sonnengott",Rꜥw / raw 通常与太阳神 Ra / Re 相关。
拉神,神祇与宗教,Ra / Re,"ra,re,raw,sun,solar",拉神是古埃及太阳神，常与 ra、re、raw 等词项相关。
奥西里斯,神祇与宗教,Osiris,"osiris,wsjr",Wsjr 是奥西里斯 Osiris 的常见古埃及语转写形式。
荷鲁斯,神祇与宗教,Horus,"horus,hr,heru",荷鲁斯通常对应 Horus，也常见转写为 hr。
赫鲁斯,神祇与宗教,Horus,"horus,hr,heru",赫鲁斯与荷鲁斯同指 Horus，可通过 hr 等词项检索。
伊西斯,神祇与宗教,Isis,"isis,aset,ast",伊西斯是奥西里斯神话体系中的重要女神。
阿努比斯,神祇与宗教,Anubis,"anubis,inpw,anpu",阿努比斯与木乃伊、墓葬、亡灵保护等主题相关。
阿蒙,神祇与宗教,Amun,"amun,amon,jmn,imn",阿蒙是新王国时期重要神祇，常见转写为 jmn / imn。
普塔,神祇与宗教,Ptah,"ptah,pth",普塔是孟菲斯地区的重要创造神。
托特,神祇与宗教,Thoth,"thoth,dhwtj,djehuty",托特与书写、智慧、审判和神圣记录相关。
赛特,神祇与宗教,Seth,"seth,set,stx,sty",赛特常与混乱、敌对、沙漠和神话冲突相关。
玛阿特,神祇与宗教,Maat,"maat,maa,truth,justice,order",玛阿特代表真理、秩序、公正与宇宙秩序。
国王,王权与政治,king / ruler,"king,ruler,nswt,koenig,könig",nswt 常与古埃及国王或王权相关，也可对应英文 king 和德文 König。
法老,王权与政治,pharaoh / king,"pharaoh,king,ruler,nswt,pr-aa,per-aa",法老主题通常与国王、王权和统治者相关。
王权,王权与政治,kingship / royal power,"kingship,royal,king,ruler,nswt",王权主题用于检索古埃及国王权力、统治合法性和王室意识形态。
王室,王权与政治,royal family,"royal,king,queen,prince,princess,nswt",王室主题涉及国王、王后、王子、公主和王族成员。
王后,王权与政治,queen,"queen,royal wife,king's wife,hmt-nswt",王后主题可用于检索国王妻子、王室女性和王后称号。
王名,王权与政治,royal name,"royal,name,cartouche,nswt",王名主题涉及国王称号、王名和王室铭文。
统治,王权与政治,rule / reign,"rule,reign,king,ruler,nswt",统治主题用于检索国王统治、王朝和政治权力相关文本。
来世,来世与死亡,afterlife / underworld,"afterlife,underworld,jenseits,duat,dwat",来世主题通常与冥界、亡灵、奥西里斯和死后审判相关。
冥界,来世与死亡,underworld / Duat,"underworld,duat,dwat,jenseits",冥界主题通常对应 Duat，是古埃及死后世界观的重要概念。
死亡,来世与死亡,death,"death,dead,tote,mwt",死亡主题与死者、亡灵、丧葬和来世观念相关。
死者,来世与死亡,deceased / dead,"dead,deceased,tote,mwt",死者主题用于检索亡者、受供者和墓葬文本。
亡灵,来世与死亡,spirit / deceased,"spirit,soul,dead,deceased,ba,ka,mwt",亡灵主题涉及 ba、ka、死者和来世存在形式。
复活,来世与死亡,resurrection / rebirth,"resurrection,rebirth,afterlife,osiris,wsjr",复活主题常与奥西里斯信仰、死后再生和来世观念相关。
审判,来世与死亡,judgment / tribunal,"judgment,tribunal,court,maat,truth",审判主题常与亡灵审判、玛阿特和神圣法庭相关。
木乃伊,来世与死亡,mummy / mummification,"mummy,mummification,embalming,anubis",木乃伊主题涉及尸体保存、丧葬仪式和阿努比斯信仰。
灵魂,来世与死亡,soul / ba / ka,"soul,ba,ka,spirit",灵魂主题可关联 ba、ka 等古埃及生命与死后存在概念。
供奉,祭祀与供品,offering,"offering,opfer,htp",ḥtp / htp 常与供奉、供品和祭祀公式相关。
祭品,祭祀与供品,offering,"offering,opfer,htp,bread,beer,incense",祭品主题涉及供奉给神或死者的物品。
供品,祭祀与供品,offering goods,"offering,goods,opfer,htp,bread,beer",供品主题用于检索献给神祇或死者的物品。
祭祀,祭祀与供品,ritual / cult,"ritual,cult,offering,htp,priest",祭祀主题涉及宗教仪式、祭司和供奉活动。
仪式,祭祀与供品,ritual,"ritual,ceremony,cult,offering",仪式主题用于检索宗教、丧葬或王权仪式相关文本。
香,祭祀与供品,incense,"incense,sntr,frankincense",香常作为祭品或宗教仪式中的供奉物。
面包,祭祀与供品,bread,"bread,t,offering",面包常作为古埃及供品清单中的重要项目。
啤酒,祭祀与供品,beer,"beer,hnqt,offering",啤酒常与供品、宴饮和祭祀清单相关。
神庙,神庙与墓葬,temple,"temple,tempel,hwt-ntr,pr",神庙主题涉及神祇崇拜、祭司、仪式和神圣空间。
庙宇,神庙与墓葬,temple,"temple,tempel,hwt-ntr,pr",庙宇与神庙同义，常涉及宗教建筑和祭祀活动。
墓葬,神庙与墓葬,tomb / grave,"tomb,grave,grab,burial",墓葬主题涉及墓室、墓主、死者和丧葬文本。
坟墓,神庙与墓葬,tomb / grave,"tomb,grave,grab,burial",坟墓主题可用于检索墓葬铭文和死者相关文本。
铭文,神庙与墓葬,inscription,"inscription,text,stela,stele",铭文主题涉及石碑、墓葬、神庙墙面等文字材料。
石碑,神庙与墓葬,stela / stele,"stela,stele,inscription",石碑主题涉及纪念性文本、供奉文本和墓葬材料。
亡灵书,文本类型,Book of the Dead,"book of the dead,totenbuch,tb,afterlife,osiris",亡灵书是古埃及来世文本的重要类型，常与奥西里斯、冥界和审判相关。
金字塔文本,文本类型,Pyramid Texts,"pyramid texts,pyramidentexte,pyramid,afterlife",金字塔文本是古王国王室丧葬文本的重要材料。
棺椁文本,文本类型,Coffin Texts,"coffin texts,coffin,afterlife",棺椁文本与中王国丧葬信仰和来世观念相关。
医学文本,文本类型,medical texts,"medical,medicine,medizin,healing",医学文本主题涉及疾病、治疗、身体和药物。
书信,文本类型,letters,"letter,letters,brief,briefe",书信主题涉及行政、私人交流和日常文本。
档案,文本类型,archive,"archive,archives,administrative",档案主题涉及行政记录、经济记录和文书材料。
传记,文本类型,biography,"biography,autobiography,life",传记主题涉及人物生平、职务和自我呈现。
祭司,人物与职业,priest,"priest,wab,hm-ntr,hem-netjer",祭司主题涉及神庙服务、祭祀活动和宗教职务。
书吏,人物与职业,scribe,"scribe,schreiber,ss,sesh",书吏主题涉及书写、文书、行政和知识阶层。
官员,人物与职业,official,"official,administrator,overseer",官员主题涉及行政职务、社会身份和墓葬铭文。
工匠,人物与职业,craftsman,"craftsman,worker,artisan",工匠主题涉及劳动、技术和社会职业。
医生,人物与职业,physician / healer,"physician,doctor,healer,medicine",医生主题与医学文本、治疗和身体知识相关。
天空,自然与宇宙,sky / heaven,"sky,heaven,himmel,pt",天空主题涉及宇宙结构、神祇和天界观念。
大地,自然与宇宙,earth / land,"earth,land,ta,tA",大地主题涉及土地、世界结构和空间观念。
尼罗河,自然与宇宙,Nile / river,"nile,river,hapy,water",尼罗河主题涉及河流、泛滥、农业和神圣地理。
水,自然与宇宙,water,"water,mw,nile,river",水主题涉及生命、河流、净化和供奉。
星辰,自然与宇宙,stars,"star,stars,sky,heaven",星辰主题涉及天空、宇宙和来世升天观念。
太阳,自然与宇宙,sun,"sun,solar,ra,re,raw",太阳主题与太阳神、光明、再生和王权相关。
生命,抽象概念,life,"life,leben,ankh,anh",生命主题常与 ankh / ꜥnḫ 相关。
真理,抽象概念,truth / Maat,"truth,maat,maa,justice,order",真理主题常与玛阿特、秩序和公正相关。
秩序,抽象概念,order / Maat,"order,maat,truth,justice",秩序主题涉及宇宙秩序、王权合法性和玛阿特观念。
敌人,抽象概念,enemy,"enemy,enemies,feind,feinde,hfti",敌人主题常见于王权、神话斗争和亡灵文本中。
胜利,抽象概念,victory,"victory,triumph,enemy,enemies",胜利主题涉及战胜敌人、王权和神话冲突。
保护,抽象概念,protection,"protection,protect,guardian,amulet",保护主题常与神祇保护、亡灵保护和护符相关。
魔法,抽象概念,magic,"magic,spell,heka",魔法主题涉及咒语、仪式和宗教实践。
咒语,抽象概念,spell,"spell,magic,utterance,heka",咒语主题常见于亡灵书、金字塔文本和宗教文本。
