term_id,term,df,total_tf,fields,field_count
T000001,hr,5062,24762,"lemma_forms, mdc, normalized_transliteration, translation",4
T000002,pl,4051,11975,"mdc, normalized_transliteration, translation",3
T000004,du,3202,4967,"mdc, normalized_transliteration, translation",3
T000003,n.j,2774,3457,"lemma_forms, mdc, normalized_transliteration",3
T000008,ich,2367,2644,translation,1
T000009,hrw,2174,7907,"lemma_forms, mdc, normalized_transliteration",3
T000011,jw,2144,12366,"lemma_forms, mdc, normalized_transliteration, translation",4
T000013,dd,2120,8226,"lemma_forms, mdc, normalized_transliteration",3
T000006,nb,2001,9801,"lemma_forms, mdc, normalized_transliteration, translation",4
T000005,tj,1961,2900,"lemma_forms, mdc, normalized_transliteration, translation",4
T000012,jr,1950,6728,"lemma_forms, mdc, normalized_transliteration, translation",4
T000010,ntr,1939,8917,"lemma_forms, mdc, normalized_transliteration",3
T000007,jm,1906,6462,"lemma_forms, mdc, normalized_transliteration, translation",4
T000015,raw,1781,8441,"lemma_forms, mdc, normalized_transliteration, translation",4
T000045,dich,1669,1953,translation,1
T000024,tw,1664,8351,"lemma_forms, mdc, normalized_transliteration, translation",4
T000039,nn,1653,7644,"lemma_forms, mdc, normalized_transliteration, translation",4
T000023,sn,1577,10635,"lemma_forms, mdc, normalized_transliteration, translation",4
T000046,dir,1519,1817,translation,1
T000049,wsjr,1492,7867,"lemma_forms, mdc, normalized_transliteration",3
T000014,ta,1481,7559,"lemma_forms, mdc, normalized_transliteration, translation",4
T000027,hat,1464,2125,"mdc, normalized_transliteration, translation",3
T000016,jri,1457,6901,"lemma_forms, mdc, normalized_transliteration",3
T000051,osiris,1453,1638,translation,1
T000033,maa,1442,5708,"lemma_forms, mdc, normalized_transliteration",3
T000017,fr,1380,1627,translation,1
T000018,rdi,1299,4323,"lemma_forms, mdc, normalized_transliteration",3
T000021,ha,1238,3825,"lemma_forms, mdc, normalized_transliteration, translation",4
T000054,wird,1215,1475,translation,1
T000036,sw,1089,5953,"lemma_forms, mdc, normalized_transliteration, translation",4
T000063,mdw,1087,3389,"lemma_forms, mdc, normalized_transliteration",3
T000026,nj,1032,4018,"lemma_forms, mdc, normalized_transliteration, translation",4
T000052,pw,1020,6128,"lemma_forms, mdc, normalized_transliteration",3
T000019,ra,1002,4603,"lemma_forms, mdc, normalized_transliteration, translation",4
T000086,dein,994,1144,translation,1
T000022,nfr,993,4210,"lemma_forms, mdc, normalized_transliteration",3
T000061,aus,967,1101,translation,1
T000079,pn,964,6520,"lemma_forms, mdc, normalized_transliteration, translation",4
T000056,mj,962,4473,"lemma_forms, mdc, normalized_transliteration",3
T000098,ppy,952,7115,"lemma_forms, mdc, normalized_transliteration",3
T000106,pepi,952,1189,translation,1
T000055,da,947,1093,"lemma_forms, mdc, normalized_transliteration, translation",4
T000078,jwi,936,3176,"lemma_forms, mdc, normalized_transliteration",3
T000028,ka,921,4491,"lemma_forms, mdc, normalized_transliteration, translation",4
T000077,re,919,979,translation,1
T000050,jn,916,4468,"lemma_forms, mdc, normalized_transliteration, translation",4
T000097,deine,916,1042,translation,1
T000031,xr,906,1795,mdc,1
T000069,sich,906,992,translation,1
T000088,horus,886,935,translation,1
T000057,jb,871,4214,"lemma_forms, mdc, normalized_transliteration, translation",4
T000066,xrw,870,1191,mdc,1
T000103,dd-mdw,864,2528,"lemma_forms, mdc, normalized_transliteration",3
T000096,hr.w,862,902,"lemma_forms, mdc, normalized_transliteration",3
T000042,za,849,3144,"lemma_forms, mdc, normalized_transliteration, translation",4
T000032,di,840,2906,"lemma_forms, mdc, normalized_transliteration, translation",4
T000081,tn,837,6342,"lemma_forms, mdc, normalized_transliteration",3
T000043,wj,831,2557,"lemma_forms, mdc, normalized_transliteration, translation",4
T000037,aa,825,3340,"lemma_forms, mdc, normalized_transliteration",3
T000029,anh,821,2995,"lemma_forms, normalized_transliteration",2
T000048,st,818,3663,"lemma_forms, mdc, normalized_transliteration, translation",4
T000072,sa,811,2007,"lemma_forms, mdc, normalized_transliteration, translation",4
T000065,ihn,797,890,translation,1
T000034,anx,788,1433,mdc,1
T000068,jmn,771,1624,"lemma_forms, mdc, normalized_transliteration",3
