query_zh,topic_en,expanded_terms,explanation_zh
神,god / deity,"god,deity,gott,ntr",nṯr / ntr 是古埃及语中常见的“神”相关词项，也可对应英文 god、deity 和德文 Gott。
大神,great god,"great,god,ntr,aa,ntr-aa",nṯr-ꜥꜣ / ntr-aa 常可理解为“大神”。
奥西里斯,Osiris,"osiris,wsjr",Wsjr 是奥西里斯 Osiris 的常见古埃及语转写形式。
国王,king / ruler,"king,ruler,nswt,koenig,könig",nswt 是古埃及语中与“国王”相关的重要词项。
太阳神,sun god / Ra,"sun,solar,ra,re,raw,sonnengott",Rꜥw / raw 通常与太阳神 Ra / Re 相关。
拉神,Ra / Re,"ra,re,raw,sun,solar",拉神通常对应 Ra / Re，在转写中可见 Rꜥw / raw。
来世,afterlife / underworld,"afterlife,underworld,jenseits,duat,dwat",该主题用于检索与死后世界、冥界、来世相关的文本。
冥界,underworld / Duat,"underworld,duat,dwat,jenseits",Duat / dwat 通常与古埃及冥界概念相关。
供奉,offering,"offering,opfer,htp",ḥtp / htp 常与供奉、祭献、安宁等意义相关。
祭品,offering,"offering,opfer,htp",祭品和供奉主题可通过 offering、Opfer、htp 等词检索。
死亡,death,"death,dead,tote,mwt",该主题用于检索与死亡、死者相关的文本。
死者,deceased / dead,"dead,deceased,tote,mwt",该主题用于检索与死者、亡者相关的表达。
天空,sky / heaven,"sky,heaven,himmel,pt",p.t / pt 常与天空相关，英文可对应 sky、heaven，德文可对应 Himmel。
神庙,temple,"temple,tempel,pr",该主题用于检索与神庙、庙宇建筑相关的文本。
墓葬,tomb / grave,"tomb,grave,grab",该主题用于检索与墓葬、坟墓相关的文本。
敌人,enemy,"enemy,enemies,feind,feinde,hfti",该主题用于检索与敌人、对抗者相关的文本。
真理,truth / Maat,"truth,maat,maa",mꜣꜥ / maa 常与真实、正义、玛阿特相关。
书吏,scribe,"scribe,schreiber,ss",sš / ss 通常与书吏、书写相关。
生命,life,"life,leben,ankh,anh",ꜥnḫ / ankh / anh 常与生命相关。
赫鲁斯,Horus,"horus,hr",Horus 常对应古埃及转写 Ḥr / hr。
