gardiner_code,unicode_char,zh_name,en_name,related_terms,png_path
N5,𓇳,太阳,sun,"sun,solar,ra,re,raw",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N5.png
S34,𓋹,生命符号,ankh,"life,ankh,anh",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\S34.png
G17,𓅓,猫头鹰,owl,"owl,m",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\G17.png
D21,𓂋,口,mouth,"mouth,r",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\D21.png
M17,𓇋,芦苇叶,reed leaf,"reed,i",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\M17.png
X1,𓏏,面包,bread loaf,"bread,t",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\X1.png
O1,𓉐,房屋,house,"house,pr",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\O1.png
O6,𓉗,神庙围墙,temple enclosure,"temple,hwt-ntr",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\O6.png
A1,𓀀,坐着的人,seated man,"man,person",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\A1.png
B1,𓁐,女人,woman,"woman,female",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\B1.png
G1,𓄿,秃鹫,vulture,"vulture,a",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\G1.png
I10,𓆓,眼镜蛇,cobra,"cobra,dj",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\I10.png
R4,𓊵,供品台,offering table,"offering,htp",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\R4.png
V28,𓎛,绳圈,wick,"wick,h",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\V28.png
D36,𓂝,手臂,arm,"arm,a",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\D36.png
F35,𓄤,心与气管,heart and windpipe,"heart,nfr,good,beautiful",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\F35.png
Y5,𓏞,书写板,writing board,"scribe,writing",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\Y5.png
M23,𓇓,莎草植物,sedge,"sedge,king,nswt",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\M23.png
N35,𓈖,水波,water,"water,n",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N35.png
Z1,𓏤,单笔画,stroke,"stroke,one",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\Z1.png
D4,𓁹,眼睛,eye,"eye,seeing,vision,watch",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\D4.png
D10,𓂀,荷鲁斯之眼,wedjat eye,"wedjat,horus,eye,protection,healing",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\D10.png
G43,𓅱,鹌鹑雏鸟,quail chick,"quail,bird,w,chick",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\G43.png
I9,𓆑,角蝰,horned viper,"viper,snake,f,danger",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\I9.png
N1,𓇯,天空,sky,"sky,heaven,firmament",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N1.png
N14,𓇼,星星,star,"star,night,sky,astral",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N14.png
N16,𓇾,土地,land,"land,earth,ground,territory",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N16.png
N25,𓈉,山地,hill country,"hill,mountain,foreign land,desert",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N25.png
N36,𓈘,水渠,water channel,"canal,water,channel,irrigation",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N36.png
R8,𓊹,神旗,god standard,"god,deity,divine,standard,temple",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\R8.png
S29,𓋴,折布,folded cloth,"cloth,fabric,s",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\S29.png
V31,𓎡,篮子,basket,"basket,container,k",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\V31.png
Y1,𓏛,书卷,scroll,"scroll,writing,document,text",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\Y1.png
Z2,𓏥,双短划,double strokes,"two,dual,plural,stroke",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\Z2.png
